Counter Presentation Path,Proposed Alias Naming
[Ericsson].[Ericsson CS 3G CELL Hourly].[AMR Inter-RAT HO Success Rate - Denominator],AMR Inter-RAT HO Attempt
[Ericsson].[Ericsson CS 3G CELL Hourly].[AMR Inter-RAT HO Success Rate - Numerator],AMR Inter-RAT HO Success 
[Ericsson].[Ericsson CS 3G CELL Hourly].[Cell Availability Den],
[Ericsson].[Ericsson CS 3G CELL Hourly].[Cell Availability Num],
[3G].[Ericsson_CS_3G_CELL_Hourly].[ERI_UDC1120075],
[Ericsson].[Ericsson CS 3G CELL Hourly].[CS RRC Success Rate - Numerator],CS RRC Success 
[Ericsson].[Ericsson CS 3G CELL Hourly].[CS RRC Success Rate - Denominator],CS RRC Attempt
[Ericsson].[Ericsson CS 3G CELL Hourly].[CS RAB Success Rate - Numerator],CS RAB Success 
[Ericsson].[Ericsson CS 3G CELL Hourly].[CS RAB Success Rate - Denominator],CS RAB Attempt
[Ericsson].[Ericsson CS 3G CELL Hourly].[CS Call Drop Rate - Numerator],CS Call Drop 
[Ericsson].[Ericsson CS 3G CELL Hourly].[CS Call Drop Rate - Denominator],CS Call Attempt
[Ericsson].[Ericsson CS 3G CELL Hourly].[Drop Rate Speech - Denominator],
[Ericsson].[Ericsson CS 3G CELL Hourly].[Drop Rate Speech - Numerator],
[Ericsson].[Ericsson CS 3G CELL Hourly].[Inter-RAT HO Success Rate - Numerator],Inter-RAT HO Success 
[Ericsson].[Ericsson CS 3G CELL Hourly].[Inter-RAT HO Success Rate - Denominator],Inter-RAT HO Attempt
[Ericsson].[Ericsson CS 3G CELL Hourly].[Inter-RAT Cell Change Success Rate - Denominator],Inter-RAT Cell Change Attempt
[Ericsson].[Ericsson CS 3G CELL Hourly].[Inter-RAT Cell Change Success Rate - Numerator],Inter-RAT Cell Change Success 
[Ericsson].[Ericsson CS 3G CELL Hourly].[Soft HO Success Rate - Denominator],Soft HO Attempt
[Ericsson].[Ericsson CS 3G CELL Hourly].[Soft HO Success Rate - Numerator],Soft HO Success 
[Ericsson].[Ericsson CS 3G CELL Hourly].[RRC Setup Success Rate - Numerator],RRC Setup Success 
[Ericsson].[Ericsson CS 3G CELL Hourly].[RRC Setup Success Rate - Denominator],RRC Setup Attempt
[Ericsson].[Ericsson PS 3G CELL Hourly].[Call Setup Success Rate HS - Numerator3],Call Setup Success 
[Ericsson].[Ericsson PS 3G CELL Hourly].[Call Setup Success Rate HS - Numerator2],Call Setup Success 
[Ericsson].[Ericsson PS 3G CELL Hourly].[Call Setup Success Rate HS - Denominator2],Call Setup Attempt
[Ericsson].[Ericsson PS 3G CELL Hourly].[Call Setup Success Rate HS - Numerator1],Call Setup Success 
[Ericsson].[Ericsson PS 3G CELL Hourly].[Call Setup Success Rate HS - Denominator1],Call Setup Attempt
[Ericsson].[Ericsson PS 3G CELL Hourly].[Call Setup Success Rate HS - Denominator3],Call Setup Attempt
[Ericsson].[Ericsson PS 3G CELL Hourly].[Drop Rate HS Data - Denominator],
[Ericsson].[Ericsson PS 3G CELL Hourly].[Drop Rate HS Data - Numerator],
[Ericsson].[Ericsson PS 3G CELL Hourly].[Inter-RAT HO PS UTRAN Success Rate Num],
[Ericsson].[Ericsson PS 3G CELL Hourly].[Inter-RAT HO PS UTRAN Success Rate Den],
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS Call Drop Rate - Denominator3],
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS Call Drop Rate - Numerator2],
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS Call Drop Rate - Numerator3],
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS Call Drop Rate - Numerator1],
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS Call Drop Rate - Denominator2],
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS Call Drop Rate - Denominator1],
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS RAB Success Rate - Numerator],PS RAB Success 
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS RAB Success Rate - Denominator],PS RAB Attempt
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS RRC Success Rate - Denominator],PS RRC Attempt
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS RRC Success Rate - Numerator],PS RRC Success 
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS Call Drop Rate R99 - Denominator],PS Call Attempt
[Ericsson].[Ericsson PS 3G CELL Hourly].[PS Call Drop Rate R99 - Numerator],PS Call Drop 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Availability Num],
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Availability Den],
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[RRC Setup Success Rate - Numerator],RRC Setup Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[RRC Setup Success Rate - Denominator],RRC Setup Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[ERAB Setup Success Rate - Numerator3],ERAB Setup Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[ERAB Setup Success Rate - Numerator1],ERAB Setup Success 
